file,elapsed_time,cpu_percent,gpu_percent,ram_percent,gpu_temperature,technique
ds10_0.1-privateSMOTE3_QI4_knn5_per1,6.321389675140381,33.95,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI4_knn5_per2,7.376231670379639,30.67142857142857,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI4_knn5_per3,7.344910383224487,34.214285714285715,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn1_per1,6.317908048629761,34.86666666666667,0.0,1.95,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn1_per2,6.315759181976318,35.300000000000004,0.0,1.9666666666666668,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn1_per3,7.38888955116272,34.357142857142854,0.0,1.957142857142857,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn3_per1,6.31580924987793,35.233333333333334,0.0,1.9333333333333333,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn3_per2,7.36461615562439,33.67142857142857,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn3_per3,7.36285662651062,32.84285714285714,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn5_per1,6.309540033340454,35.833333333333336,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn5_per2,6.272867202758789,33.36666666666667,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI0_knn5_per3,7.403707504272461,32.67142857142857,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn1_per1,6.37149977684021,39.833333333333336,0.0,1.95,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn1_per2,7.344250440597534,32.457142857142856,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn1_per3,7.383074283599853,35.44285714285714,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn3_per1,6.329575300216675,34.65,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn3_per2,7.356199502944946,31.3,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn3_per3,7.375449657440185,34.77142857142857,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn5_per1,6.306320428848267,34.6,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn5_per2,7.373332262039185,33.7,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI1_knn5_per3,7.370783567428589,35.885714285714286,0.0,1.957142857142857,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn1_per1,5.264751672744751,29.4,0.0,1.9600000000000002,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn1_per2,5.264753818511963,33.239999999999995,0.0,1.9600000000000002,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn1_per3,6.320783376693726,27.7,0.0,1.9666666666666668,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn3_per1,5.22683310508728,29.939999999999998,0.0,1.9600000000000002,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn3_per2,5.266518831253052,34.32,0.0,1.9600000000000002,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn3_per3,6.306034564971924,28.75,0.0,1.9666666666666668,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn5_per1,5.276478767395019,33.260000000000005,0.0,1.9600000000000002,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn5_per2,5.277680158615112,34.3,0.0,1.9600000000000002,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI2_knn5_per3,6.329556226730347,28.616666666666664,0.0,1.9666666666666668,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn1_per1,6.323037385940552,37.233333333333334,0.0,1.9666666666666668,25.666666666666668,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn1_per2,7.384385585784912,34.82857142857143,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn1_per3,8.439154148101807,34.2125,0.0,1.975,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn3_per1,6.301345348358154,33.483333333333334,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn3_per2,7.359783172607422,32.042857142857144,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn3_per3,7.3804614543914795,36.128571428571426,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn5_per1,6.321682929992676,38.333333333333336,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn5_per2,7.374383449554443,34.54285714285714,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI3_knn5_per3,7.3868207931518555,34.82857142857143,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn1_per1,6.312976598739624,33.38333333333333,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn1_per2,7.376628160476685,33.971428571428575,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn1_per3,7.332354545593262,29.271428571428572,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn3_per1,6.331122398376465,34.166666666666664,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn3_per2,7.361707925796509,33.08571428571428,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn3_per3,7.408755540847778,34.15714285714286,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn5_per1,6.297271013259888,33.78333333333334,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn5_per2,6.316725969314575,35.0,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE5_QI4_knn5_per3,7.340863943099976,33.51428571428571,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.1-privateSMOTE_QI0_knn1_per1,6.481828212738037,44.25,0.0,28.100000000000005,40.5,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI0_knn1_per2,7.572769403457642,45.62857142857143,0.0,28.1,40.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI0_knn1_per3,9.76943850517273,43.86666666666666,0.0,28.1,40.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI0_knn3_per1,6.504062652587891,46.550000000000004,0.0,28.100000000000005,40.0,0.1-privateSMOTE
