ds,col,Correlation,Statistic Similarity (Mean),Statistic Similarity (Median),Statistic Similarity (Standard Deviation),Boundary Adherence,Range Coverage,Category Coverage
ds33_transf2_qi4.csv,V10,0.9916544548277177,0.9502724070970291,1.0,0.9970689164304373,0.9283936964335084,0.9,
ds33_transf2_qi4.csv,V12,0.9916544548277177,0.963410836872288,0.9387619993379676,0.988724800802692,0.4462261542714957,0.5283018867924528,
ds33_transf2_qi4.csv,V13,0.9916544548277177,0.9997711559024246,1.0,0.9995663984269524,1.0,0.8775510204081632,
ds33_transf2_qi4.csv,V15,0.9916544548277177,0.9988997347615713,1.0,0.9982739575878845,1.0,1.0,
ds33_transf2_qi4.csv,Class,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,
ds33_transf2_qi4.csv,V2,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds33_transf2_qi4.csv,V3,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds33_transf2_qi4.csv,V4,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds33_transf2_qi4.csv,V7,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds33_transf2_qi4.csv,V8,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds33_transf2_qi4.csv,V9,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds33_transf2_qi4.csv,V11,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds33_transf2_qi4.csv,V16,0.9916544548277177,0.9980157721864058,1.0,0.9976149151766682,1.0,1.0,0.0
ds2_transf0_qi4.csv,a,0.8707242804442368,0.9416241836923182,0.948051948051948,0.9575414613357033,0.9137724550898204,0.38961038961038963,
ds2_transf0_qi4.csv,b,0.8707242804442368,0.9798808059292045,0.9880952380952381,0.9697155639922671,0.019161676646706587,0.13435374149659862,
ds2_transf0_qi4.csv,c,0.8707242804442368,0.9995944831334455,1.0,0.9979263470978911,1.0,1.0,
ds2_transf0_qi4.csv,d,0.8707242804442368,0.9988658759730231,1.0,0.9996659823915532,1.0,1.0,
ds2_transf0_qi4.csv,e,0.8707242804442368,0.9991263140802987,1.0,0.9983730215438074,1.0,1.0,
ds2_transf0_qi4.csv,h,0.8707242804442368,0.9974185436390508,1.0,0.9953792079670125,1.0,0.8048780487804879,
ds2_transf0_qi4.csv,j,0.8707242804442368,0.9738832840505747,1.0,0.980703110723951,0.9137724550898204,0.7490636704119851,
ds2_transf0_qi4.csv,k,0.8707242804442368,0.9539707392100366,0.9714285714285714,0.9590945915716574,0.022754491017964073,0.27142857142857146,
ds2_transf0_qi4.csv,l,0.8707242804442368,0.9979617144680253,0.979591836734694,0.9995701720995024,1.0,1.0,
ds2_transf0_qi4.csv,n,0.8707242804442368,0.9996459455094563,1.0,0.9927530397608769,1.0,0.5942028985507246,
ds2_transf0_qi4.csv,o,0.8707242804442368,0.9983654015076271,1.0,0.9971276810036711,1.0,1.0,
ds2_transf0_qi4.csv,p,0.8707242804442368,0.9706513768896649,0.9791921664626683,0.963226792209135,0.9137724550898204,0.2447980416156671,
ds2_transf0_qi4.csv,r,0.8707242804442368,0.9977340484077729,1.0,0.9987733046931253,1.0,1.0,
ds2_transf0_qi4.csv,s,0.8707242804442368,0.9989190990157728,0.9997387226148641,0.9947302900616426,1.0,1.0,
ds2_transf0_qi4.csv,t,0.8707242804442368,0.9975889896799756,0.9983508554937126,0.996116114540713,1.0,1.0,
ds2_transf0_qi4.csv,u,0.8707242804442368,0.9995637805296061,0.9999813699108434,0.9962633396506546,1.0,0.9999984346835344,
ds2_transf0_qi4.csv,v,0.8707242804442368,0.999205766410942,1.0,0.9957787326300844,1.0,1.0,
ds2_transf0_qi4.csv,aa,0.8707242804442368,0.9980672931242413,1.0,0.999383051381986,1.0,1.0,
ds2_transf0_qi4.csv,ad,0.8707242804442368,0.9979111220101914,1.0,0.9974699438912691,1.0,1.0,
ds2_transf0_qi4.csv,ah,0.8707242804442368,0.998049519273531,1.0,0.9938432042726882,1.0,1.0,
ds2_transf0_qi4.csv,ak,0.8707242804442368,0.9987359689571033,0.9987261146496815,0.9950377618177842,1.0,1.0,
ds2_transf0_qi4.csv,al,0.8707242804442368,0.9980139433501166,1.0,0.9988625489954793,1.0,1.0,
ds2_transf0_qi4.csv,am,0.8707242804442368,0.9986700596673652,1.0,0.9964881012394208,1.0,1.0,
ds2_transf0_qi4.csv,an,0.8707242804442368,0.9638386615018025,0.9113263785394933,0.9827011918903686,0.9137724550898204,0.9580583351075155,
ds2_transf0_qi4.csv,def,0.8707242804442368,0.9638386615018025,0.9113263785394933,0.9827011918903686,0.9137724550898204,0.9580583351075155,0.0
ds4_transf0_qi3.csv,att1,0.994756483979417,0.9990650847286665,0.9989913253984265,0.9970911232451866,1.0,1.0,
ds4_transf0_qi3.csv,att2,0.994756483979417,0.999451051021283,0.9998231776582293,0.9990091483865283,1.0,1.0,
ds4_transf0_qi3.csv,att3,0.994756483979417,0.9995151126477031,0.9993028453620834,0.9999300689503253,1.0,1.0,
ds4_transf0_qi3.csv,att4,0.994756483979417,0.9997990727350289,0.9992080864433778,0.9997641638583793,1.0,1.0,
ds4_transf0_qi3.csv,att5,0.994756483979417,0.9991945040008745,0.9996262811754321,0.9999403440821204,1.0,1.0,
ds4_transf0_qi3.csv,att6,0.994756483979417,0.9991661336961409,0.9971014423017804,0.9971246596804214,1.0,1.0,
ds4_transf0_qi3.csv,att7,0.994756483979417,0.9030002189570318,0.8873938472315738,0.9862949461330566,0.555,0.8636780997601723,
ds4_transf0_qi3.csv,att8,0.994756483979417,0.9993215568145547,0.9996010213852538,0.9993154399526437,1.0,0.9120651133099267,
ds4_transf0_qi3.csv,att9,0.994756483979417,0.8469497083657405,0.8188855320062571,0.9868793529874452,0.128125,0.3010612520320216,
ds4_transf0_qi3.csv,att10,0.994756483979417,0.9993514101900052,0.9995537081316332,0.9985913080314424,1.0,1.0,
ds4_transf0_qi3.csv,att11,0.994756483979417,0.9998124114392977,0.9984109181729611,0.9996815156928401,1.0,1.0,
ds4_transf0_qi3.csv,att12,0.994756483979417,0.9991578358979611,0.9976025039544076,0.9992675371568059,1.0,0.9932642417444395,
