value,ci,ds_complete,technique,ds
0.1264944096922075,"(0.03477983760211888, 0.21820898178229614)",ds2_transf1_qi1.csv,PPT,ds2
0.621363707344006,"(0.5988054640674796, 0.6439219506205325)",ds55_transf0_qi0.csv,PPT,ds55
0.0321240905472996,"(0.02196004442154023, 0.042288136673059154)",ds51_transf2_qi1.csv,PPT,ds51
0.1137425298910136,"(0.06545555717896794, 0.16202950260305932)",ds5_transf0_qi1.csv,PPT,ds5
0.9990264538348071,"(0.9980528972262535, 1.0)",ds50_transf2_qi2.csv,PPT,ds50
0.0146727020237236,"(0.007153940634884229, 0.022191463412563017)",ds68_transf1_qi2.csv,PPT,ds68
0.0,"(0.0, 0.0045429459929252755)",ds56_transf1_qi1.csv,PPT,ds56
0.0176586430348726,"(0.0072807285749399795, 0.028036557494805235)",ds68_transf2_qi4.csv,PPT,ds68
0.0115691425695295,"(0.002433045555530514, 0.020705239583528497)",ds68_transf2_qi1.csv,PPT,ds68
0.0341062705919357,"(0.0, 0.12090690869599738)",ds2_transf1_qi2.csv,PPT,ds2
0.0,"(0.0, 0.002711114264858369)",ds37_transf2_qi1.csv,PPT,ds37
0.180927352222846,"(0.09815998674993028, 0.26369471769576175)",ds59_transf1_qi0.csv,PPT,ds59
0.6278183164923165,"(0.6054096096864636, 0.6502270232981693)",ds55_transf1_qi0.csv,PPT,ds55
0.1520952656372159,"(0.13234578482187787, 0.1718447464525541)",ds51_transf2_qi2.csv,PPT,ds51
0.0498235614678014,"(0.0, 0.11065570786289394)",ds10_transf2_qi4.csv,PPT,ds10
0.0,"(0.0, 0.03523042161726944)",ds56_transf0_qi4.csv,PPT,ds56
0.9949041555412677,"(0.989806630489675, 1.0)",ds16_transf2_qi2.csv,PPT,ds16
0.0748935672880197,"(0.0, 0.1708324213786409)",ds32_transf2_qi2.csv,PPT,ds32
0.0968582694992336,"(0.05693757715652282, 0.13677896184194444)",ds24_transf0_qi1.csv,PPT,ds24
0.9990259601302932,"(0.9980519093305887, 1.0)",ds50_transf0_qi1.csv,PPT,ds50
0.9948217253497792,"(0.9896413143489082, 1.0)",ds16_transf1_qi4.csv,PPT,ds16
0.0968582694992336,"(0.05693757715652282, 0.13677896184194444)",ds24_transf2_qi1.csv,PPT,ds24
0.0,"(0.0, 0.033183259185525886)",ds56_transf1_qi4.csv,PPT,ds56
0.0,"(0.0, 0.0032690502061361484)",ds8_transf2_qi0.csv,PPT,ds8
0.1609928850628095,"(0.06881884878462839, 0.2531669213409906)",ds2_transf0_qi1.csv,PPT,ds2
0.0092504967033178,"(0.0, 0.02562882865353755)",ds37_transf2_qi4.csv,PPT,ds37
0.0,"(0.0, 0.0028335511372474765)",ds8_transf1_qi4.csv,PPT,ds8
0.0,"(0.0, 0.0028335511372474765)",ds8_transf0_qi4.csv,PPT,ds8
0.2278121723031117,"(0.15678390272149012, 0.2988404418847334)",ds59_transf2_qi4.csv,PPT,ds59
0.0989183325594493,"(0.05186324599593252, 0.14597341912296624)",ds24_transf1_qi3.csv,PPT,ds24
0.031885889574832,"(0.017977114950583878, 0.045794664199080196)",ds38_transf0_qi4.csv,PPT,ds38
0.99491763943898,"(0.9898336715458789, 1.0)",ds14_transf0_qi2.csv,PPT,ds14
0.0,"(0.0, 0.0062214630567214765)",ds33_transf2_qi3.csv,PPT,ds33
0.0,"(0.0, 0.013082795090703321)",ds37_transf1_qi0.csv,PPT,ds37
0.0863301967275778,"(0.047028600918988146, 0.12563179253616746)",ds24_transf1_qi1.csv,PPT,ds24
0.0492572145774402,"(0.0, 0.1074333028216359)",ds10_transf1_qi1.csv,PPT,ds10
0.0645436366243739,"(0.0, 0.14580327763962259)",ds59_transf2_qi2.csv,PPT,ds59
0.0270028587209185,"(0.01724639094803329, 0.036759326493803875)",ds51_transf1_qi1.csv,PPT,ds51
0.0137556581472408,"(0.00633818599257379, 0.021173130301908)",ds68_transf2_qi2.csv,PPT,ds68
0.99467825133379,"(0.9893535406783428, 1.0)",ds16_transf2_qi1.csv,PPT,ds16
0.9949310521666735,"(0.9898605695149572, 1.0)",ds14_transf2_qi1.csv,PPT,ds14
0.1020614552850543,"(0.034645755046604346, 0.16947715552350429)",ds24_transf0_qi0.csv,PPT,ds24
0.0,"(0.0, 0.002704253731458812)",ds55_transf2_qi2.csv,PPT,ds55
0.2363666864099232,"(0.14732202545869055, 0.32541134736115584)",ds59_transf2_qi1.csv,PPT,ds59
0.0,"(0.0, 0.018173218502885585)",ds33_transf2_qi0.csv,PPT,ds33
0.1183801547455793,"(0.024873199561464943, 0.2118871099296937)",ds32_transf1_qi2.csv,PPT,ds32
0.994463491952148,"(0.9889227092578726, 1.0)",ds4_transf2_qi0.csv,PPT,ds4
0.0057278969688089,"(0.0, 0.021791579155227864)",ds32_transf1_qi0.csv,PPT,ds32
0.0594570391417894,"(0.005105670850270881, 0.11380840743330803)",ds5_transf2_qi4.csv,PPT,ds5
0.1205845189934466,"(0.10141242358142492, 0.13975661440546844)",ds38_transf2_qi0.csv,PPT,ds38
0.0030866714838154,"(0.0, 0.019060602377854174)",ds37_transf1_qi3.csv,PPT,ds37
0.99467825133379,"(0.9893535406783428, 1.0)",ds16_transf1_qi1.csv,PPT,ds16
0.9990264538348071,"(0.9980528972262535, 1.0)",ds50_transf1_qi2.csv,PPT,ds50
0.9990204961467644,"(0.9980409759452167, 1.0)",ds50_transf1_qi4.csv,PPT,ds50
0.0,"(0.0, 0.0038763327054480196)",ds37_transf1_qi2.csv,PPT,ds37
0.2624792420014114,"(0.19012398001656447, 0.33483450398625825)",ds59_transf1_qi4.csv,PPT,ds59
0.994463491952148,"(0.9889227092578726, 1.0)",ds4_transf0_qi0.csv,PPT,ds4
0.9942821944518916,"(0.988558934487948, 1.0)",ds4_transf1_qi1.csv,PPT,ds4
0.9948769719578646,"(0.9897521145245363, 1.0)",ds14_transf2_qi3.csv,PPT,ds14
0.2473604857778266,"(0.1582990331566385, 0.3364219383990148)",ds59_transf1_qi1.csv,PPT,ds59
0.0769434761027445,"(0.031841221628585284, 0.12204573057690372)",ds5_transf2_qi1.csv,PPT,ds5
0.0,"(0.0, 0.0032690502061361484)",ds8_transf0_qi2.csv,PPT,ds8
0.0453086816930808,"(0.011187033596625075, 0.07943032978953668)",ds10_transf0_qi2.csv,PPT,ds10
0.7010200460802697,"(0.6752764358419526, 0.7267636563185867)",ds51_transf1_qi0.csv,PPT,ds51
0.0092504967033178,"(0.0, 0.02562882865353755)",ds37_transf2_qi0.csv,PPT,ds37
0.0699222730097384,"(0.0, 0.1514001035376937)",ds59_transf0_qi2.csv,PPT,ds59
0.9949840025289184,"(0.9899667529959945, 1.0)",ds14_transf0_qi0.csv,PPT,ds14
0.2746521034914587,"(0.1635685766623985, 0.3857356303205189)",ds2_transf2_qi3.csv,PPT,ds2
0.1588982487647592,"(0.13898811085197668, 0.1788083866775417)",ds51_transf0_qi2.csv,PPT,ds51
0.0,"(0.0, 0.0071036002486826125)",ds33_transf1_qi1.csv,PPT,ds33
0.99467825133379,"(0.9893535406783428, 1.0)",ds16_transf0_qi1.csv,PPT,ds16
0.0190527464323625,"(0.008570244896000593, 0.029535247968724504)",ds68_transf0_qi4.csv,PPT,ds68
0.0778450226492099,"(0.0017914818079405176, 0.1538985634904793)",ds5_transf1_qi2.csv,PPT,ds5
0.1099765931730059,"(0.07184126414048363, 0.14811192220552816)",ds24_transf1_qi2.csv,PPT,ds24
0.9942479479673552,"(0.9884902113029868, 1.0)",ds4_transf0_qi2.csv,PPT,ds4
0.0592498145217211,"(0.02297903637395702, 0.09552059266948526)",ds10_transf2_qi2.csv,PPT,ds10
0.010310214543856,"(0.0, 0.029506207697728947)",ds33_transf0_qi0.csv,PPT,ds33
0.689216153816991,"(0.6630386702290554, 0.7153936374049266)",ds51_transf0_qi0.csv,PPT,ds51
0.9949310521666735,"(0.9898605695149572, 1.0)",ds14_transf1_qi1.csv,PPT,ds14
0.999027439743913,"(0.9980548700148015, 1.0)",ds50_transf1_qi3.csv,PPT,ds50
0.0,"(0.0, 0.0023491156025509516)",ds37_transf0_qi2.csv,PPT,ds37
0.0012962095759226,"(0.0, 0.006022816036891155)",ds55_transf1_qi4.csv,PPT,ds55
0.0,"(0.0, 0.02908745889623073)",ds56_transf2_qi4.csv,PPT,ds56
0.0833583631310526,"(0.023132850787355712, 0.14358387547474957)",ds10_transf2_qi1.csv,PPT,ds10
0.99491763943898,"(0.9898336715458789, 1.0)",ds14_transf1_qi4.csv,PPT,ds14
0.0747466966363044,"(0.0, 0.1654099128225991)",ds2_transf2_qi1.csv,PPT,ds2
0.0,"(0.0, 0.003448376569364985)",ds55_transf0_qi2.csv,PPT,ds55
0.9944151973228244,"(0.988825812135171, 1.0)",ds4_transf1_qi3.csv,PPT,ds4
0.0,"(0.0, 0.003955136064508494)",ds5_transf2_qi3.csv,PPT,ds5
0.0413067205855778,"(0.026619605180242065, 0.05599383599091366)",ds38_transf1_qi4.csv,PPT,ds38
0.0833583631310526,"(0.023132850787355712, 0.14358387547474957)",ds10_transf0_qi1.csv,PPT,ds10
0.121851927091652,"(0.05510935658591584, 0.18859449759738822)",ds24_transf0_qi4.csv,PPT,ds24
0.0,"(0.0, 0.0045429459929252755)",ds56_transf2_qi0.csv,PPT,ds56
0.0019981602351049,"(0.0, 0.0067556885005564705)",ds37_transf2_qi2.csv,PPT,ds37
0.1297477441793194,"(0.10342712249439398, 0.15606836586424486)",ds32_transf2_qi1.csv,PPT,ds32
0.0268280715595853,"(0.0, 0.08626876961494562)",ds10_transf1_qi4.csv,PPT,ds10
0.0,"(0.0, 0.04647377912588875)",ds5_transf1_qi3.csv,PPT,ds5
0.0349747289069349,"(0.0, 0.08761144496752118)",ds5_transf1_qi4.csv,PPT,ds5
0.0197091696040117,"(0.005444433673959595, 0.03397390553406389)",ds38_transf1_qi1.csv,PPT,ds38
0.99491763943898,"(0.9898336715458789, 1.0)",ds14_transf1_qi2.csv,PPT,ds14
0.0030834989011059,"(0.0, 0.018801423909011215)",ds37_transf0_qi0.csv,PPT,ds37
0.0481101418586237,"(0.03632291150567992, 0.05989737221156754)",ds51_transf1_qi3.csv,PPT,ds51
0.0813328512155472,"(0.03496893414658732, 0.12769676828450727)",ds24_transf0_qi3.csv,PPT,ds24
0.0913013226341935,"(0.05437555027006608, 0.12822709499832108)",ds24_transf2_qi2.csv,PPT,ds24
0.0,"(0.0, 0.0045429459929252755)",ds56_transf2_qi1.csv,PPT,ds56
0.0131394464026744,"(0.0, 0.02683795513820643)",ds38_transf0_qi1.csv,PPT,ds38
0.99491763943898,"(0.9898336715458789, 1.0)",ds14_transf2_qi2.csv,PPT,ds14
0.0,"(0.0, 0.0045429459929252755)",ds56_transf2_qi2.csv,PPT,ds56
0.0,"(0.0, 0.07249010711210536)",ds59_transf1_qi2.csv,PPT,ds59
0.0341062705919357,"(0.0, 0.12090690869599738)",ds2_transf0_qi2.csv,PPT,ds2
0.9944952270001473,"(0.9889863791216986, 1.0)",ds4_transf2_qi4.csv,PPT,ds4
0.0025890631833544,"(0.0, 0.007136466692096171)",ds55_transf1_qi2.csv,PPT,ds55
0.180927352222846,"(0.09815998674993028, 0.26369471769576175)",ds59_transf2_qi0.csv,PPT,ds59
0.9942479479673552,"(0.9884902113029868, 1.0)",ds4_transf2_qi2.csv,PPT,ds4
0.0021787746643081,"(0.0, 0.01367950865039335)",ds38_transf0_qi2.csv,PPT,ds38
0.0171223310029036,"(0.007512038263340454, 0.026732623742466877)",ds68_transf1_qi1.csv,PPT,ds68
0.0,"(0.0, 0.0045429459929252755)",ds56_transf1_qi2.csv,PPT,ds56
0.0137943603299738,"(0.0, 0.03165334708564906)",ds32_transf1_qi4.csv,PPT,ds32
0.9199949453479596,"(0.9053938999850117, 0.9345959907109076)",ds51_transf1_qi4.csv,PPT,ds51
0.2682752309259484,"(0.1767393341476708, 0.35981112770422613)",ds59_transf1_qi3.csv,PPT,ds59
0.9949310521666735,"(0.9898605695149572, 1.0)",ds16_transf0_qi3.csv,PPT,ds16
0.0003220694140522,"(0.0, 0.0027577990894268726)",ds55_transf1_qi1.csv,PPT,ds55
0.0306606532109547,"(0.0, 0.09034261310204902)",ds10_transf0_qi4.csv,PPT,ds10
0.0577216386431472,"(0.0, 0.17101433561911106)",ds2_transf0_qi0.csv,PPT,ds2
0.2080024181897977,"(0.13787022459649007, 0.27813461178310533)",ds59_transf0_qi4.csv,PPT,ds59
0.1400802196690338,"(0.11997075848290609, 0.16018968085516158)",ds38_transf1_qi0.csv,PPT,ds38
0.9990204961467644,"(0.9980409759452167, 1.0)",ds50_transf0_qi4.csv,PPT,ds50
0.0,"(0.0, 0.0019293142895192117)",ds38_transf2_qi3.csv,PPT,ds38
0.0,"(0.0, 0.002711114264858369)",ds37_transf0_qi1.csv,PPT,ds37
0.0487939649002409,"(0.014115773995520962, 0.08347215580496092)",ds10_transf1_qi2.csv,PPT,ds10
0.9948217253497792,"(0.9896413143489082, 1.0)",ds16_transf0_qi4.csv,PPT,ds16
0.0,"(0.0, 0.009715050498913066)",ds33_transf2_qi2.csv,PPT,ds33
0.1616370235551304,"(0.0, 0.33029933288345037)",ds5_transf2_qi0.csv,PPT,ds5
0.1185279420846416,"(0.01882467917576565, 0.21823120499351767)",ds10_transf0_qi3.csv,PPT,ds10
0.0105460045795513,"(0.003496119666338075, 0.01759588949276463)",ds68_transf0_qi2.csv,PPT,ds68
0.9278581500090533,"(0.9139838857350465, 0.9417324142830598)",ds51_transf2_qi4.csv,PPT,ds51
0.6299698528750866,"(0.6076115520352116, 0.6523281537149616)",ds55_transf2_qi0.csv,PPT,ds55
0.9949310521666735,"(0.9898605695149572, 1.0)",ds16_transf1_qi3.csv,PPT,ds16
0.9990264538348071,"(0.9980528972262535, 1.0)",ds50_transf0_qi2.csv,PPT,ds50
0.0046383894656159,"(0.0, 0.013606140667082897)",ds68_transf0_qi3.csv,PPT,ds68
0.0160593233810466,"(0.0021053073121001034, 0.0300133394499931)",ds38_transf2_qi1.csv,PPT,ds38
0.1091590180196049,"(0.042387382215530844, 0.17593065382367912)",ds24_transf1_qi4.csv,PPT,ds24
0.4110808594742239,"(0.3921847025612498, 0.429977016387198)",ds55_transf2_qi3.csv,PPT,ds55
0.0,"(0.0, 0.0045429459929252755)",ds56_transf2_qi3.csv,PPT,ds56
0.070460892586935,"(0.04785022750338303, 0.09307155767048705)",ds33_transf1_qi4.csv,PPT,ds33
0.0527810294177134,"(0.04070107502612361, 0.06486098380930325)",ds51_transf0_qi3.csv,PPT,ds51
0.0454750274559142,"(0.0, 0.1326819791326635)",ds2_transf2_qi2.csv,PPT,ds2
0.6983969589106521,"(0.6725558327507273, 0.724238085070577)",ds51_transf2_qi0.csv,PPT,ds51
0.0,"(0.0, 0.04262625655771346)",ds5_transf0_qi3.csv,PPT,ds5
0.99491763943898,"(0.9898336715458789, 1.0)",ds14_transf0_qi4.csv,PPT,ds14
0.0176586430348726,"(0.0072807285749399795, 0.028036557494805235)",ds68_transf0_qi0.csv,PPT,ds68
0.0,"(0.0, 0.0032690502061361484)",ds8_transf1_qi2.csv,PPT,ds8
0.3136479084034733,"(0.23042491638663953, 0.39687090042030704)",ds2_transf1_qi4.csv,PPT,ds2
0.0,"(0.0, 0.0032690502061361484)",ds8_transf0_qi1.csv,PPT,ds8
0.0355092861174265,"(0.021294128024588427, 0.04972444421026474)",ds38_transf2_qi4.csv,PPT,ds38
0.0160381115126649,"(0.0, 0.03576992449326856)",ds33_transf1_qi0.csv,PPT,ds33
0.0195288263736709,"(0.002123423178905688, 0.03693422956843629)",ds37_transf1_qi4.csv,PPT,ds37
0.9990259601302932,"(0.9980519093305887, 1.0)",ds50_transf1_qi1.csv,PPT,ds50
0.0,"(0.0, 0.08401246718504181)",ds32_transf0_qi2.csv,PPT,ds32
0.25835428514573,"(0.1692955227877158, 0.3474130475037442)",ds59_transf0_qi1.csv,PPT,ds59
0.0595425395723068,"(0.0, 0.12833659609092446)",ds10_transf1_qi0.csv,PPT,ds10
0.0,"(0.0, 0.0032690502061361484)",ds8_transf1_qi0.csv,PPT,ds8
0.0,"(0.0, 0.0045429459929252755)",ds56_transf1_qi0.csv,PPT,ds56
0.000726258221436,"(0.0, 0.01206594853366684)",ds38_transf2_qi2.csv,PPT,ds38
0.0030834989011059,"(0.0, 0.018801423909011215)",ds37_transf0_qi4.csv,PPT,ds37
0.023699757757329,"(0.012878144026973291, 0.03452137148768475)",ds68_transf1_qi0.csv,PPT,ds68
0.0068734763625707,"(0.0, 0.023075130122241716)",ds32_transf0_qi0.csv,PPT,ds32
0.409393335420553,"(0.3905010214200635, 0.42828564942104264)",ds55_transf1_qi3.csv,PPT,ds55
0.2515080289930767,"(0.15986835887735856, 0.3431476991087949)",ds59_transf0_qi3.csv,PPT,ds59
0.0495114081263506,"(0.03763526843678784, 0.06138754781591345)",ds51_transf2_qi3.csv,PPT,ds51
0.0,"(0.0, 0.0045429459929252755)",ds56_transf0_qi1.csv,PPT,ds56
0.9947936527898094,"(0.989585010917, 1.0)",ds16_transf0_qi0.csv,PPT,ds16
0.0097406178777934,"(0.000325177317222914, 0.019156058438364057)",ds68_transf1_qi3.csv,PPT,ds68
0.1026162464767063,"(0.0, 0.21530949264618376)",ds2_transf2_qi0.csv,PPT,ds2
0.1350257787531408,"(0.11515016109898467, 0.15490139640729708)",ds38_transf0_qi0.csv,PPT,ds38
0.0,"(0.0, 0.15904297688242272)",ds5_transf1_qi0.csv,PPT,ds5
0.0022448686330642,"(0.0, 0.014936331234992965)",ds33_transf1_qi2.csv,PPT,ds33
0.2419554245043803,"(0.12962705127750399, 0.3542837977312566)",ds2_transf1_qi3.csv,PPT,ds2
