ds,col,Correlation,Statistic Similarity (Mean),Statistic Similarity (Median),Statistic Similarity (Standard Deviation),Boundary Adherence,Range Coverage,Category Coverage
ds2_smote_knn3_per0.75.csv,a,0.9908747501510913,0.9596313092602896,0.948051948051948,0.9894432413306513,1.0,1.0,
ds2_smote_knn3_per0.75.csv,b,0.9908747501510913,0.9983071749347756,0.9965986394557823,0.9970258844408074,1.0,1.0,
ds2_smote_knn3_per0.75.csv,c,0.9908747501510913,0.9906262261995753,1.0,0.9994891955367152,1.0,1.0,
ds2_smote_knn3_per0.75.csv,d,0.9908747501510913,0.9810712001141325,0.9761904761904762,0.9826483673189965,1.0,1.0,
ds2_smote_knn3_per0.75.csv,e,0.9908747501510913,0.9709212337812784,0.9615384615384616,0.9844324877378782,1.0,1.0,
ds2_smote_knn3_per0.75.csv,h,0.9908747501510913,0.9841353987567993,0.983739837398374,0.9928691661353779,1.0,1.0,
ds2_smote_knn3_per0.75.csv,j,0.9908747501510913,0.9951279227576254,1.0,0.999528480029458,1.0,1.0,
ds2_smote_knn3_per0.75.csv,k,0.9908747501510913,0.9981737697120541,0.9857142857142858,0.993389355315401,1.0,1.0,
ds2_smote_knn3_per0.75.csv,l,0.9908747501510913,0.9919716168594147,0.9553376412988533,0.9927293535176626,1.0,1.0,
ds2_smote_knn3_per0.75.csv,n,0.9908747501510913,0.9964215593093272,1.0,0.9889309693606324,1.0,1.0,
ds2_smote_knn3_per0.75.csv,o,0.9908747501510913,0.980172233462983,1.0,0.9696350371421941,1.0,1.0,
ds2_smote_knn3_per0.75.csv,p,0.9908747501510913,0.9967558693006433,0.996328029375765,0.9948244078146973,1.0,0.9975520195838433,
ds2_smote_knn3_per0.75.csv,r,0.9908747501510913,0.9722100129040089,1.0,0.9833542719007909,1.0,1.0,
ds2_smote_knn3_per0.75.csv,s,0.9908747501510913,0.9943719805637388,0.9939117566557215,0.9965427059086729,1.0,1.0,
ds2_smote_knn3_per0.75.csv,t,0.9908747501510913,0.9981422837343465,0.9953310927296612,0.9884785004595362,1.0,1.0,
ds2_smote_knn3_per0.75.csv,u,0.9908747501510913,0.999974668106408,0.9997654055563155,0.9968488547181747,1.0,1.0,
ds2_smote_knn3_per0.75.csv,v,0.9908747501510913,0.9984788172580851,0.99832574070453,0.9967973676420695,1.0,1.0,
ds2_smote_knn3_per0.75.csv,aa,0.9908747501510913,0.9878993222149531,1.0,0.9844697245722369,1.0,1.0,
ds2_smote_knn3_per0.75.csv,ad,0.9908747501510913,0.9592134102574927,0.8756573984132885,0.989499098060293,1.0,1.0,
ds2_smote_knn3_per0.75.csv,ah,0.9908747501510913,0.9867989907964196,0.9849246231155779,0.9875337721202903,1.0,0.5879396984924623,
ds2_smote_knn3_per0.75.csv,ak,0.9908747501510913,0.9935258424926221,0.9923566878980892,0.99650525370706,1.0,1.0,
ds2_smote_knn3_per0.75.csv,al,0.9908747501510913,0.988682100016503,0.9791666666666666,0.9947057617438348,1.0,1.0,
ds2_smote_knn3_per0.75.csv,am,0.9908747501510913,0.9895313782753945,0.9853932584269663,0.9971289470805786,1.0,0.996629213483146,
ds2_smote_knn3_per0.75.csv,an,0.9908747501510913,0.9402560413338964,0.8994038748137109,0.9890717239524478,1.0,1.0,
ds2_smote_knn3_per0.75.csv,def,0.9908747501510913,0.9402560413338964,0.8994038748137109,0.9890717239524478,1.0,1.0,1.0
ds14_bordersmote_knn5_per0.75.csv,att1,0.9993812709282758,0.9857611632957612,0.9922456575682382,0.9864301899462206,1.0,0.9857320099255583,
ds14_bordersmote_knn5_per0.75.csv,att2,0.9993812709282758,0.9762580500694845,0.959151098150813,0.9763885361423398,1.0,0.9530093337624719,
ds14_bordersmote_knn5_per0.75.csv,att3,0.9993812709282758,0.9870050791795545,0.9560137457044674,0.9738913304714012,1.0,1.0,
ds14_bordersmote_knn5_per0.75.csv,att4,0.9993812709282758,0.9744479081279858,0.9728470437017995,0.9780419535754633,1.0,1.0,
ds14_bordersmote_knn5_per0.75.csv,att5,0.9993812709282758,0.9534266841574434,0.9547413793103449,0.9877917253132013,1.0,1.0,
ds14_bordersmote_knn5_per0.75.csv,att6,0.9993812709282758,0.9897414404990512,0.9820931105985636,0.9979005537917163,1.0,0.9485640805829404,
ds14_bordersmote_knn5_per0.75.csv,att7,0.9993812709282758,0.9490154319330216,0.9499037246251266,0.981189425297832,1.0,0.9675504550850811,
ds14_bordersmote_knn5_per0.75.csv,att8,0.9993812709282758,0.9928072109040769,0.9822530864197531,0.9907270267528633,1.0,1.0,
ds14_bordersmote_knn5_per0.75.csv,att9,0.9993812709282758,0.9551223212117279,0.9633797784923187,0.9939425484143558,1.0,0.9817792068595927,
ds14_bordersmote_knn5_per0.75.csv,att10,0.9993812709282758,0.9993390398994172,0.9795062878435026,0.9823290706926988,1.0,0.9878900791802515,
ds14_bordersmote_knn5_per0.75.csv,att11,0.9993812709282758,0.9673794820072078,0.9499714952659344,0.9934792913675321,1.0,1.0,
ds14_bordersmote_knn5_per0.75.csv,att12,0.9993812709282758,0.9767241175380317,0.9725638599810785,0.9979025786052703,1.0,1.0,
ds14_bordersmote_knn5_per0.75.csv,att13,0.9993812709282758,0.9432476090317957,0.9961067853170189,0.9601935777849618,1.0,0.9454949944382648,
ds14_bordersmote_knn5_per0.75.csv,att14,0.9993812709282758,0.9845785126932247,0.9944647374213014,0.9985787278746272,1.0,1.0,
ds14_bordersmote_knn5_per0.75.csv,att15,0.9993812709282758,0.9775202187227655,0.9560264997335843,0.9847270188044347,1.0,0.9493991144845034,
